,15826,11608,10802,12981,7772,13254,13255,16106,16107,5457,4841,16891,10531,14017,4592,7782,3074,265,266,10787,5905,5759,6263,17399,17400,10262,7376,15017,16969,15045,15937,7963,250,1584,11847,7199,11593,4139,2777,17543,13998,1068,9885,1164,14669,6143,13873,9209,9210,3592,2140,15537,16920,16921,5300,17362,3228,3229,3230,6229,8812,4878,13538,17584,8123,11026,9200,9201,7081,11118,9889,6675,7980,14410,2858,8299,14961,8082,8716
references_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightsHolder_y,Stefan Lithner,Sven-Åke Kraft,Sven-Åke Kraft,Lars Bergendorf,Stefan Lithner,Lars Bergendorf,Lars Bergendorf,Tommy Karlsson,Tommy Karlsson,Stefan Lithner,Anneli Kihl,Lars Bergendorf,Jan Nilsson,Jan Nilsson,Sven-Åke Kraft,Erik Hansson,Jonas Lindebring,Lars Bergendorf,Lars Bergendorf,Jonas Lindebring,Peter Schmidt,Jonas Lindebring,Tommy Karlsson,Anneli Kihl,Anneli Kihl,Jonas Roth,Göran Ogén,Jan Nilsson,Tobias Hammarberg,Tommy Karlsson,Anneli Kihl,Peter Schmidt,Christer Bergendorff,Anders Forsberg,Gunnel Sundberg,Jan Nilsson,Åke Hedman,Jonas Lindebring,Jan Nilsson,Jonas Lindebring,Ivan Kruys,Christer Bergendorff,Peter Schmidt,Magnus Billqvist,Sven-Åke Kraft,Hans Höglund,Per Wahlén,Göran Ogén,Göran Ogén,Åke Hedman,Anneli Kihl,Mats Forslund,Tommy Karlsson,Tommy Karlsson,Erik Hansson,Erik Hansson,Niclas Lignell,Niclas Lignell,Niclas Lignell,Tommy Ericson,Benny Ahlnér,Jonas Lindebring,Peter Schmidt,Göran Ogén,Niclas Lignell,Kurt Holmqvist,Åke Hedman,Åke Hedman,Matthis Persson,Mats Westberg,Anders Sandh,Jan Andersson,Sten Fällström,Jan Nilsson,Sven-Olof Johannesson,Anders Sandh,Sven-Åke Kraft,Sven-Åke Kraft,Sven-Åke Kraft
type_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
institutionID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collectionID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasetID_x,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen,urn:lsid:swedishlifewatch.se:dataprovider:Artportalen
institutionCode_x,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken
collectionCode_x,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen
datasetName_x,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen,Artportalen
ownerInstitutionCode_x,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken,SLU Artdatabanken
basisOfRecord_x,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION,HUMAN_OBSERVATION
informationWithheld_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataGeneralizations_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamicProperties_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occurrenceID_x,urn:lsid:artportalen.se:sighting:13651857,urn:lsid:artportalen.se:sighting:13612013,urn:lsid:artportalen.se:sighting:13634354,urn:lsid:artportalen.se:sighting:13580451,urn:lsid:artportalen.se:sighting:13651733,urn:lsid:artportalen.se:sighting:13602005,urn:lsid:artportalen.se:sighting:13602005,urn:lsid:artportalen.se:sighting:13605624,urn:lsid:artportalen.se:sighting:13605624,urn:lsid:artportalen.se:sighting:13651721,urn:lsid:artportalen.se:sighting:13578302,urn:lsid:artportalen.se:sighting:13576413,urn:lsid:artportalen.se:sighting:13522242,urn:lsid:artportalen.se:sighting:13341907,urn:lsid:artportalen.se:sighting:13515123,urn:lsid:artportalen.se:sighting:13342292,urn:lsid:artportalen.se:sighting:13523452,urn:lsid:artportalen.se:sighting:13534696,urn:lsid:artportalen.se:sighting:13534696,urn:lsid:artportalen.se:sighting:13523109,urn:lsid:artportalen.se:sighting:13328517,urn:lsid:artportalen.se:sighting:13523108,urn:lsid:artportalen.se:sighting:13517362,urn:lsid:artportalen.se:sighting:13535170,urn:lsid:artportalen.se:sighting:13535170,urn:lsid:artportalen.se:sighting:13534287,urn:lsid:artportalen.se:sighting:13259261,urn:lsid:artportalen.se:sighting:13254307,urn:lsid:artportalen.se:sighting:16038136,urn:lsid:artportalen.se:sighting:13251053,urn:lsid:artportalen.se:sighting:13515292,urn:lsid:artportalen.se:sighting:13308258,urn:lsid:artportalen.se:sighting:13331286,urn:lsid:artportalen.se:sighting:13321599,urn:lsid:artportalen.se:sighting:13528095,urn:lsid:artportalen.se:sighting:13254308,urn:lsid:artportalen.se:sighting:13334079,urn:lsid:artportalen.se:sighting:13523451,urn:lsid:artportalen.se:sighting:13522239,urn:lsid:artportalen.se:sighting:13523103,urn:lsid:artportalen.se:sighting:15965977,urn:lsid:artportalen.se:sighting:13321721,urn:lsid:artportalen.se:sighting:13282350,urn:lsid:artportalen.se:sighting:13514611,urn:lsid:artportalen.se:sighting:13367061,urn:lsid:artportalen.se:sighting:15892549,urn:lsid:artportalen.se:sighting:15903333,urn:lsid:artportalen.se:sighting:13324478,urn:lsid:artportalen.se:sighting:13324478,urn:lsid:artportalen.se:sighting:13204021,urn:lsid:artportalen.se:sighting:13543004,urn:lsid:artportalen.se:sighting:13451537,urn:lsid:artportalen.se:sighting:16025930,urn:lsid:artportalen.se:sighting:16025930,urn:lsid:artportalen.se:sighting:13333701,urn:lsid:artportalen.se:sighting:13530551,urn:lsid:artportalen.se:sighting:13343130,urn:lsid:artportalen.se:sighting:13343130,urn:lsid:artportalen.se:sighting:13343130,urn:lsid:artportalen.se:sighting:13525925,urn:lsid:artportalen.se:sighting:13251467,urn:lsid:artportalen.se:sighting:13523453,urn:lsid:artportalen.se:sighting:13307909,urn:lsid:artportalen.se:sighting:13259262,urn:lsid:artportalen.se:sighting:13343320,urn:lsid:artportalen.se:sighting:16036914,urn:lsid:artportalen.se:sighting:13183131,urn:lsid:artportalen.se:sighting:13183131,urn:lsid:artportalen.se:sighting:13509906,urn:lsid:artportalen.se:sighting:13545842,urn:lsid:artportalen.se:sighting:13546110,urn:lsid:artportalen.se:sighting:13553898,urn:lsid:artportalen.se:sighting:13557929,urn:lsid:artportalen.se:sighting:13555938,urn:lsid:artportalen.se:sighting:13575199,urn:lsid:artportalen.se:sighting:13573373,urn:lsid:artportalen.se:sighting:13549617,urn:lsid:artportalen.se:sighting:13562860,urn:lsid:artportalen.se:sighting:13562541
catalogNumber_x,13651857,13612013,13634354,13580451,13651733,13602005,13602005,13605624,13605624,13651721,13578302,13576413,13522242,13341907,13515123,13342292,13523452,13534696,13534696,13523109,13328517,13523108,13517362,13535170,13535170,13534287,13259261,13254307,16038136,13251053,13515292,13308258,13331286,13321599,13528095,13254308,13334079,13523451,13522239,13523103,15965977,13321721,13282350,13514611,13367061,15892549,15903333,13324478,13324478,13204021,13543004,13451537,16025930,16025930,13333701,13530551,13343130,13343130,13343130,13525925,13251467,13523453,13307909,13259262,13343320,16036914,13183131,13183131,13509906,13545842,13546110,13553898,13557929,13555938,13575199,13573373,13549617,13562860,13562541
recordNumber_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recordedBy_x,"Stefan Lithner, Magnus Unger",Sven-Åke Kraft,Sven-Åke Kraft,"Lars Bergendorf, Kent Ivarsson, Kjell Wahlström",Stefan Lithner,"Lars Bergendorf, Bengt Hertzman","Lars Bergendorf, Bengt Hertzman",Tommy Karlsson,Tommy Karlsson,Stefan Lithner,Anneli Kihl,"Lars Bergendorf, Kent Ivarsson, Kjell Wahlström",Jan Nilsson,Jan Nilsson,Sven-Åke Kraft,Erik Hansson,Jonas Lindebring,"Lars Bergendorf, Tommi Sandberg","Lars Bergendorf, Tommi Sandberg",Jonas Lindebring,Peter Schmidt,Jonas Lindebring,Tommy Karlsson,Anneli Kihl,Anneli Kihl,Jonas Roth,Göran Ogén,Jan Nilsson,Tobias Hammarberg,Tommy Karlsson,Anneli Kihl,Peter Schmidt,Christer Bergendorff,Anders Forsberg,Gunnel Sundberg,Jan Nilsson,Åke Hedman,Jonas Lindebring,Jan Nilsson,Jonas Lindebring,Ivan Kruys,Christer Bergendorff,Peter Schmidt,"Magnus Billqvist, Helena Lager",Sven-Åke Kraft,Hans Höglund,Per Wahlén,Göran Ogén,Göran Ogén,Åke Hedman,Anneli Kihl,Mats Forslund,Tommy Karlsson,Tommy Karlsson,Erik Hansson,Erik Hansson,Niclas Lignell,Niclas Lignell,Niclas Lignell,Tommy Ericson,Benny Ahlnér,Jonas Lindebring,Peter Schmidt,Göran Ogén,Niclas Lignell,Kurt Holmqvist,Åke Hedman,Åke Hedman,Matthis Persson,"Mats Westberg, Helena Persson",Anders Sandh,Jan Andersson,"Sten Fällström, Sol-Britte Fällström",Jan Nilsson,Sven-Olof Johannesson,Anders Sandh,Sven-Åke Kraft,Sven-Åke Kraft,Sven-Åke Kraft
recordedByID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
individualCount_x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,10.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
organismQuantity_x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,10.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
organismQuantityType_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ind.,,,,,,,,,,,,,
sex_x,Male,Male,Female,Male,Female,Male,Male,Female,Female,Male,Male,Female,Female,Male,Male,Female,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Male,Male,Male,Female,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male,Male,Female,Male,Male,Female,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Female,Female,Female
lifeStage_x,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago,Imago
reproductiveCondition_x,,,,,,,,,,,,,,,,egg laying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caste_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behavior_x,,,,free-flying,,free-flying,free-flying,free-flying,free-flying,,,free-flying,,,,,foraging,free-flying,free-flying,,free-flying,,free-flying,,,,free-flying,free-flying,free-flying,free-flying,free-flying,free-flying,,free-flying,,free-flying,,,,,foraging,free-flying,free-flying,free-flying,,,free-flying,free-flying,free-flying,,free-flying,,,,free-flying,free-flying,,,,,,,free-flying,free-flying,free-flying,free-flying,free-flying,free-flying,free-flying,,free-flying,,free-flying,,,free-flying,,,
vitality_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
establishmentMeans_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degreeOfEstablishment_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathway_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferenceVerificationStatus_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occurrenceStatus_x,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
preparations_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disposition_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
associatedOccurrences_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
